iter	Passed	Remaining
0	274	274264
1	392	195816
2	503	167262
3	631	157139
4	755	150386
5	882	146244
6	1007	142934
7	1126	139657
8	1237	136282
9	1356	134336
10	1469	132124
11	1592	131156
12	1702	129291
13	1818	128054
14	1927	126585
15	2046	125875
16	2163	125109
17	2273	124039
18	2383	123064
19	2497	122373
20	2615	121933
21	2726	121226
22	2841	120703
23	2950	119984
24	3061	119386
25	3177	119031
26	3284	118379
27	3392	117764
28	3496	117080
29	3616	116940
30	3728	116559
31	3840	116178
32	3950	115747
33	4055	115218
34	4169	114950
35	4284	114719
36	4394	114370
37	4503	113999
38	4628	114063
39	4761	114270
40	4876	114056
41	4988	113784
42	5098	113476
43	5205	113102
44	5314	112783
45	5422	112467
46	5537	112273
47	5648	112037
48	5772	112036
49	5881	111750
50	5988	111434
51	6102	111246
52	6202	110831
53	6310	110549
54	6425	110409
55	6537	110210
56	6654	110085
57	6758	109774
58	6870	109586
59	6983	109413
60	7097	109258
61	7213	109129
62	7322	108903
63	7435	108737
64	7542	108496
65	7648	108243
66	7756	108015
67	7862	107761
68	7966	107487
69	8075	107286
70	8186	107113
71	8292	106879
72	8399	106657
73	8507	106460
74	8617	106282
75	8720	106024
76	8827	105813
77	8953	105832
78	9063	105659
79	9169	105447
80	9280	105296
81	9392	105145
82	9497	104934
83	9612	104817
84	9723	104674
85	9826	104436
86	9938	104299
87	10046	104113
88	10158	103978
89	10268	103821
90	10375	103642
91	10494	103575
92	10597	103351
93	10706	103189
94	10817	103053
95	10926	102890
96	11037	102746
97	11151	102635
98	11268	102556
99	11373	102365
100	11479	102179
101	11579	101940
102	11683	101752
103	11794	101614
104	11903	101461
105	12010	101293
106	12123	101176
107	12226	100982
108	12332	100813
109	12443	100675
110	12551	100521
111	12661	100391
112	12769	100236
113	12876	100074
114	12984	99923
115	13099	99826
116	13209	99695
117	13314	99522
118	13423	99378
119	13528	99205
120	13637	99071
121	13740	98886
122	13851	98765
123	13970	98695
124	14089	98623
125	14204	98526
126	14314	98398
127	14421	98243
128	14533	98128
129	14645	98009
130	14756	97888
131	14855	97684
132	14961	97530
133	15069	97387
134	15181	97276
135	15293	97158
136	15406	97046
137	15513	96901
138	15628	96808
139	15735	96660
140	15852	96576
141	15949	96370
142	16056	96227
143	16162	96075
144	16276	95973
145	16389	95866
146	16505	95774
147	16614	95643
148	16717	95478
149	16829	95368
150	16951	95311
151	17061	95185
152	17170	95055
153	17284	94952
154	17399	94853
155	17503	94695
156	17610	94558
157	17724	94456
158	17836	94344
159	17950	94242
160	18070	94167
161	18177	94028
162	18285	93893
163	18391	93753
164	18491	93579
165	18597	93437
166	18720	93376
167	18830	93257
168	18936	93111
169	19043	92978
170	19155	92865
171	19263	92731
172	19368	92588
173	19480	92476
174	19595	92380
175	19705	92257
176	19830	92205
177	19939	92081
178	20050	91961
179	20159	91835
180	20270	91720
181	20376	91580
182	20486	91459
183	20597	91343
184	20716	91264
185	20827	91148
186	20945	91060
187	21054	90936
188	21161	90805
189	21267	90664
190	21380	90558
191	21489	90433
192	21593	90288
193	21705	90177
194	21821	90084
195	21931	89965
196	22051	89885
197	22163	89774
198	22268	89631
199	22379	89517
200	22497	89431
201	22605	89302
202	22712	89173
203	22817	89033
204	22933	88935
205	23038	88798
206	23147	88677
207	23263	88581
208	23377	88477
209	23496	88391
