iter	Passed	Remaining
210	23603	88259
211	23709	88128
212	23810	87974
213	23911	87825
214	24014	87680
215	24134	87598
216	24246	87489
217	24351	87352
218	24469	87264
219	24577	87138
220	24680	86996
221	24793	86888
222	24912	86802
223	25029	86709
224	25133	86569
225	25238	86436
226	25343	86301
227	25456	86194
228	25559	86053
229	25665	85924
230	25776	85810
231	25888	85698
232	26004	85602
233	26120	85505
234	26231	85392
235	26339	85269
236	26434	85104
237	26548	84999
238	26661	84892
239	26773	84783
240	26881	84659
241	26993	84550
242	27102	84431
243	27223	84347
244	27335	84238
245	27440	84106
246	27542	83964
247	27647	83835
248	27747	83689
249	27850	83552
250	27951	83408
251	28057	83283
252	28168	83170
253	28271	83034
254	28384	82928
255	28482	82775
256	28586	82645
257	28683	82493
258	28787	82360
259	28883	82206
260	28994	82095
261	29098	81963
262	29202	81834
263	29308	81708
264	29407	81565
265	29508	81425
266	29622	81323
267	29734	81215
268	29833	81071
269	29935	80936
270	30046	80827
271	30158	80717
272	30259	80581
273	30363	80453
274	30483	80366
275	30591	80247
276	30699	80129
277	30806	80008
278	30919	79902
279	31027	79784
280	31137	79671
281	31242	79545
282	31355	79442
283	31463	79323
284	31566	79194
285	31670	79064
286	31776	78942
287	31892	78844
288	32004	78737
289	32118	78634
290	32222	78508
291	32317	78359
292	32428	78248
293	32536	78132
294	32638	77999
295	32743	77875
296	32850	77757
297	32951	77624
298	33057	77503
299	33165	77386
300	33268	77258
301	33386	77164
302	33514	77094
303	33618	76967
304	33717	76832
305	33828	76722
306	33935	76604
307	34047	76496
308	34152	76372
309	34255	76246
310	34358	76119
311	34464	75998
312	34579	75898
313	34688	75784
314	34792	75659
315	34897	75536
316	35003	75417
317	35114	75308
318	35222	75191
319	35330	75077
320	35433	74951
321	35539	74832
322	35641	74703
323	35742	74573
324	35845	74447
325	35948	74322
326	36054	74203
327	36154	74072
328	36262	73958
329	36361	73825
330	36464	73700
331	36574	73589
332	36679	73469
333	36798	73376
334	36904	73259
335	37011	73140
336	37119	73027
337	37222	72902
338	37328	72784
339	37430	72658
340	37543	72555
341	37649	72436
342	37760	72329
343	37869	72216
344	37978	72104
345	38093	72003
346	38205	71897
347	38306	71770
348	38406	71640
349	38525	71547
350	38635	71437
351	38744	71325
352	38851	71208
353	38974	71122
354	39087	71018
355	39188	70891
356	39292	70770
357	39405	70666
358	39516	70557
359	39619	70435
360	39726	70319
361	39841	70217
362	39948	70101
363	40057	69990
364	40171	69887
365	40278	69772
366	40386	69657
367	40494	69545
368	40594	69417
369	40708	69315
370	40825	69217
371	40936	69108
372	41041	68989
373	41151	68879
374	41257	68762
375	41372	68661
376	41473	68535
377	41579	68419
378	41689	68308
379	41797	68196
380	41901	68076
381	42009	67963
382	42114	67844
383	42221	67730
384	42330	67619
385	42434	67499
386	42536	67377
387	42638	67253
388	42741	67133
389	42853	67027
390	42970	66928
391	43082	66821
392	43192	66711
393	43311	66616
394	43422	66507
395	43521	66381
396	43627	66266
397	43734	66151
398	43858	66062
399	43960	65940
400	44067	65826
401	44173	65710
402	44284	65602
403	44391	65488
404	44503	65381
405	44609	65266
406	44716	65152
407	44822	65036
408	44922	64912
409	45022	64788
410	45129	64674
411	45239	64565
412	45344	64448
413	45449	64331
414	45546	64203
415	45645	64079
416	45756	63971
417	45872	63870
418	45979	63756
419	46085	63641
420	46193	63529
421	46295	63409
422	46400	63292
423	46509	63183
424	46618	63071
425	46723	62956
426	46830	62842
427	46943	62738
428	47045	62617
429	47158	62512
430	47260	62392
431	47376	62291
432	47481	62175
433	47585	62058
434	47692	61945
435	47793	61825
436	47893	61702
437	48004	61594
438	48112	61482
439	48219	61370
440	48320	61249
441	48428	61138
442	48536	61027
443	48645	60916
444	48747	60797
445	48851	60680
446	48955	60564
447	49057	60446
448	49169	60338
449	49270	60219
450	49368	60095
451	49479	59988
452	49579	59867
453	49693	59762
454	49796	59646
455	49907	59538
456	50024	59438
457	50145	59342
458	50259	59238
459	50376	59137
460	50477	59018
461	50579	58900
462	50681	58781
463	50801	58684
464	50914	58579
465	51014	58458
466	51122	58347
467	51225	58230
468	51333	58119
469	51441	58008
470	51561	57910
471	51665	57795
472	51764	57674
473	51875	57565
474	51976	57448
475	52082	57334
476	52177	57209
477	52292	57105
478	52400	56995
479	52503	56878
480	52612	56769
481	52724	56662
482	52826	56544
483	52933	56433
484	53040	56321
485	53145	56207
486	53253	56096
487	53367	55992
488	53463	55868
489	53560	55746
490	53678	55646
491	53790	55540
492	53898	55428
493	54015	55327
494	54119	55212
495	54223	55098
496	54326	54982
497	54434	54871
498	54538	54757
499	54644	54644
500	54754	54535
501	54863	54426
502	54968	54313
503	55072	54198
504	55172	54080
505	55283	53972
506	55390	53861
507	55503	53755
508	55609	53643
509	55717	53532
510	55822	53419
511	55927	53305
512	56042	53202
513	56143	53084
514	56250	52973
515	56360	52865
516	56464	52750
517	56564	52633
518	56668	52519
519	56767	52400
520	56879	52293
521	56977	52174
522	57088	52067
523	57200	51960
524	57304	51846
525	57413	51737
526	57511	51618
527	57611	51501
528	57711	51384
529	57817	51272
530	57924	51161
531	58030	51049
532	58145	50945
533	58253	50835
534	58359	50724
535	58465	50611
536	58573	50502
537	58669	50381
538	58776	50271
539	58889	50165
540	58990	50049
541	59102	49942
542	59209	49831
543	59313	49718
544	59420	49607
545	59523	49494
546	59630	49383
547	59728	49265
548	59832	49151
549	59949	49049
550	60049	48932
551	60171	48834
552	60280	48725
553	60385	48613
554	60496	48506
555	60601	48393
556	60705	48280
557	60815	48172
558	60919	48060
559	61033	47955
560	61136	47840
561	61234	47723
562	61345	47616
563	61446	47501
564	61556	47393
565	61665	47284
566	61767	47170
567	61872	47057
568	61985	46951
569	62092	46841
570	62205	46735
571	62313	46626
572	62424	46518
573	62526	46404
574	62627	46290
575	62735	46180
576	62843	46070
577	62955	45963
578	63065	45856
579	63167	45742
580	63270	45628
581	63376	45517
582	63486	45409
583	63591	45298
584	63695	45186
585	63809	45080
586	63925	44976
587	64029	44864
588	64138	44755
589	64254	44651
590	64359	44539
591	64465	44428
592	64582	44325
593	64685	44212
594	64784	44097
595	64900	43993
596	65007	43882
597	65122	43778
598	65230	43668
599	65338	43559
600	65447	43450
601	65552	43338
602	65654	43225
603	65771	43121
604	65877	43011
605	65993	42906
606	66092	42791
607	66196	42679
608	66312	42575
609	66420	42465
610	66535	42360
611	66634	42245
612	66734	42130
613	66848	42025
614	66956	41915
615	67058	41802
616	67165	41692
617	67273	41583
618	67392	41480
619	67503	41373
620	67605	41260
621	67716	41152
622	67824	41043
623	67945	40941
624	68045	40827
625	68161	40722
626	68275	40616
627	68384	40508
628	68500	40403
629	68610	40295
630	68715	40184
631	68825	40075
632	68931	39964
633	69037	39854
634	69146	39745
635	69255	39636
636	69363	39527
637	69464	39414
638	69572	39304
639	69683	39196
640	69786	39084
641	69886	38970
642	69995	38862
643	70101	38751
644	70213	38644
645	70313	38531
646	70420	38420
647	70528	38312
648	70638	38203
649	70742	38092
650	70848	37981
651	70951	37869
652	71054	37757
653	71162	37648
654	71269	37538
655	71374	37428
656	71486	37320
657	71604	37216
658	71708	37105
659	71813	36994
660	71921	36885
661	72027	36775
662	72142	36669
663	72250	36560
664	72360	36452
665	72472	36345
666	72570	36230
667	72678	36121
668	72788	36013
669	72903	35907
670	73015	35800
671	73122	35690
672	73230	35581
673	73344	35475
674	73448	35363
675	73551	35252
676	73651	35139
677	73756	35029
678	73857	34916
679	73957	34803
680	74061	34692
681	74170	34583
682	74284	34477
683	74384	34364
684	74493	34256
685	74601	34146
686	74704	34035
687	74811	33926
688	74914	33815
689	75021	33705
690	75135	33598
691	75255	33495
692	75358	33383
693	75474	33278
694	75588	33171
695	75689	33059
696	75786	32946
697	75894	32837
698	75998	32725
699	76095	32612
700	76197	32500
701	76316	32396
702	76425	32287
703	76534	32179
704	76655	32075
705	76759	31964
706	76870	31857
707	76972	31745
708	77083	31637
709	77197	31531
710	77310	31424
711	77418	31315
712	77517	31202
713	77629	31095
714	77731	30983
715	77842	30876
716	77941	30763
717	78047	30653
718	78153	30544
719	78266	30437
720	78378	30329
721	78485	30220
722	78588	30109
723	78696	30000
724	78807	29892
725	78926	29787
726	79034	29678
727	79157	29575
728	79260	29464
729	79372	29356
730	79476	29246
731	79587	29138
732	79695	29029
733	79803	28920
734	79906	28809
735	80016	28701
736	80128	28594
737	80231	28483
738	80332	28371
739	80430	28259
740	80542	28151
741	80649	28042
742	80761	27935
743	80863	27823
744	80967	27713
745	81071	27603
746	81187	27497
747	81285	27384
748	81391	27275
749	81497	27165
750	81598	27054
751	81709	26946
752	81810	26835
753	81919	26727
754	82028	26618
755	82138	26510
756	82238	26398
757	82334	26286
758	82438	26176
759	82546	26067
760	82655	25958
761	82769	25851
762	82871	25741
763	82978	25632
764	83076	25520
765	83182	25410
766	83295	25303
767	83408	25196
768	83512	25086
769	83623	24978
770	83724	24867
771	83825	24756
772	83937	24649
773	84038	24538
774	84149	24430
775	84261	24323
776	84363	24212
777	84471	24103
778	84571	23992
779	84681	23884
780	84782	23773
781	84888	23664
782	84992	23554
783	85101	23446
784	85220	23340
785	85324	23230
786	85430	23121
787	85547	23015
788	85656	22906
789	85763	22797
790	85873	22689
791	85984	22581
792	86093	22473
793	86193	22362
794	86303	22254
795	86413	22146
796	86506	22033
797	86609	21923
798	86721	21816
799	86830	21707
800	86938	21598
801	87047	21490
802	87162	21383
803	87283	21278
804	87397	21170
805	87513	21064
806	87618	20954
807	87725	20845
808	87841	20738
809	87950	20630
810	88058	20521
811	88169	20413
812	88272	20303
813	88375	20193
814	88476	20083
815	88584	19974
816	88685	19864
817	88780	19753
818	88894	19645
819	89012	19539
820	89129	19432
821	89233	19323
822	89334	19212
823	89435	19102
824	89551	18995
825	89671	18889
826	89775	18780
827	89888	18672
828	89988	18562
829	90090	18452
830	90196	18343
831	90302	18234
832	90409	18125
833	90522	18017
834	90618	17906
835	90724	17797
836	90823	17687
837	90930	17578
838	91031	17468
839	91131	17358
840	91239	17249
841	91348	17141
842	91464	17034
843	91574	16926
844	91683	16817
845	91783	16707
846	91897	16600
847	92009	16492
848	92113	16382
849	92220	16274
850	92323	16164
851	92440	16057
852	92553	15949
853	92658	15840
854	92755	15730
855	92860	15621
856	92964	15512
857	93090	15406
858	93193	15297
859	93303	15188
860	93413	15080
861	93520	14971
862	93637	14864
863	93749	14756
864	93862	14648
865	93976	14541
866	94077	14431
867	94183	14322
868	94292	14214
869	94400	14105
870	94504	13996
871	94612	13888
872	94724	13780
873	94830	13671
874	94940	13562
875	95048	13454
876	95153	13345
877	95260	13236
878	95369	13128
879	95472	13019
880	95583	12910
881	95702	12803
882	95797	12693
883	95897	12583
884	96001	12474
885	96103	12365
886	96207	12256
887	96318	12148
888	96431	12040
889	96532	11931
890	96643	11822
891	96758	11715
892	96867	11606
893	96975	11498
894	97081	11389
895	97193	11281
896	97302	11172
897	97406	11064
898	97512	10955
899	97619	10846
900	97724	10737
901	97828	10628
902	97929	10519
903	98032	10410
904	98134	10301
905	98250	10193
906	98360	10085
907	98469	9977
908	98575	9868
909	98685	9760
910	98793	9651
911	98901	9543
912	99006	9434
913	99116	9326
914	99220	9217
915	99330	9108
916	99439	9000
917	99544	8891
918	99657	8783
919	99760	8674
920	99863	8565
921	99974	8457
922	100070	8348
923	100173	8239
924	100285	8131
925	100396	8023
926	100498	7914
927	100612	7806
928	100723	7697
929	100834	7589
930	100933	7480
931	101034	7371
932	101144	7263
933	101249	7154
934	101367	7046
935	101472	6938
936	101573	6829
937	101680	6720
938	101782	6612
939	101886	6503
940	102005	6395
941	102107	6286
942	102211	6178
943	102318	6069
944	102422	5961
945	102545	5853
946	102650	5744
947	102764	5636
948	102873	5528
949	102972	5419
950	103074	5310
951	103183	5202
952	103293	5094
953	103411	4986
954	103509	4877
955	103609	4768
956	103715	4660
957	103830	4552
958	103934	4443
959	104049	4335
960	104168	4227
961	104265	4118
962	104379	4010
963	104481	3901
964	104585	3793
965	104695	3684
966	104799	3576
967	104914	3468
968	105022	3359
969	105127	3251
970	105231	3142
971	105347	3034
972	105456	2926
973	105567	2818
974	105676	2709
975	105785	2601
976	105894	2492
977	106007	2384
978	106113	2276
979	106216	2167
980	106322	2059
981	106425	1950
982	106535	1842
983	106640	1733
984	106755	1625
985	106859	1517
986	106970	1408
987	107084	1300
988	107185	1192
989	107293	1083
990	107403	975
991	107508	867
992	107620	758
993	107735	650
994	107837	541
995	107943	433
996	108059	325
997	108176	216
998	108288	108
999	108401	0
