iter	R2	RMSE
0	0.07428716026	0.9698912626
1	0.09851690061	0.9571140638
2	0.1569793427	0.925558794
3	0.1983463293	0.9025646003
4	0.2117808971	0.8949698011
5	0.2479980183	0.8741669758
6	0.2814249041	0.8545175447
7	0.3146081948	0.8345538346
8	0.3422025972	0.817581358
9	0.3674697428	0.8017252387
10	0.3996758457	0.7810481572
11	0.4409731168	0.7537047457
12	0.4594219487	0.7411636431
13	0.4915188903	0.7188235796
14	0.5090896767	0.7062947623
15	0.5404353653	0.68337361
16	0.5550577331	0.6724139809
17	0.5816414207	0.652017486
18	0.5934990202	0.6427109536
19	0.6046599049	0.6338264146
20	0.6209322637	0.6206450758
21	0.6446143432	0.600945173
22	0.6624145082	0.5857021121
23	0.6736389215	0.5758827674
24	0.6952376592	0.5565004932
25	0.7114289988	0.5415159417
26	0.7268239666	0.5268733119
27	0.7380050375	0.5159782244
28	0.7551146454	0.498845788
29	0.7606417193	0.4931841736
30	0.7670926322	0.4864929116
31	0.7708285329	0.4825753959
32	0.7830195554	0.4695644402
33	0.7980495227	0.4530095371
34	0.8046236295	0.4455751089
35	0.8189703111	0.4289037128
36	0.8326838523	0.4123384477
37	0.8391941299	0.4042368046
38	0.8510728636	0.3890199043
39	0.860737377	0.3761856186
40	0.8667833532	0.3679291119
41	0.8705812345	0.3626465328
42	0.8778004581	0.3523868489
43	0.8873974562	0.3382665111
44	0.896109738	0.3249169171
45	0.9033900123	0.3133256264
46	0.9079067614	0.3059135938
47	0.9133137356	0.2967973694
48	0.9164786267	0.2913289988
49	0.9199689944	0.2851767006
50	0.9254529552	0.2752327562
51	0.9295890735	0.2674883874
52	0.9326811186	0.2615491715
53	0.9370428134	0.2529342023
54	0.9392272974	0.2485073158
55	0.9430256414	0.2406160681
56	0.9473957307	0.2312040298
57	0.9499234071	0.2255808816
58	0.9533310644	0.2177704011
59	0.9569836577	0.2090747774
60	0.9595846514	0.2026553473
61	0.9625061978	0.1951931827
62	0.9632702428	0.1931941323
63	0.9651964434	0.1880601233
64	0.9661969489	0.1853373094
65	0.9686899091	0.1783721582
66	0.9695310519	0.1759598704
67	0.9716514285	0.1697268274
68	0.9719168971	0.1689302593
69	0.9720597611	0.1685000214
70	0.9735439424	0.1639636082
71	0.9753626007	0.158227634
72	0.9755177725	0.1577285708
73	0.9758234381	0.1567408415
74	0.9773164122	0.1518241213
75	0.978870521	0.1465309272
76	0.9805120326	0.1407240014
77	0.9815378842	0.1369700576
78	0.9818779925	0.1357025647
79	0.9819909016	0.1352791573
80	0.9835369647	0.129342085
81	0.9843326248	0.1261778215
82	0.9852443889	0.1224513292
83	0.9859576497	0.1194551296
84	0.9869901789	0.1149795396
85	0.9876979256	0.1118083086
86	0.9883474435	0.1088166902
87	0.9891238596	0.1051289447
88	0.9898561958	0.1015278835
89	0.9902036623	0.09977386062
90	0.9908811964	0.09626176794
91	0.9914939584	0.09297124646
92	0.9919448829	0.09047338377
93	0.992554568	0.08698209328
94	0.9930605086	0.08397475095
95	0.9934723367	0.08144487782
96	0.9940198844	0.07795423089
97	0.994348193	0.07578418124
98	0.9946159441	0.07396728623
99	0.9950171731	0.07115784796
100	0.9953818093	0.06850477316
101	0.9956285906	0.06664930756
102	0.9959453057	0.0641894955
103	0.9959655217	0.0640292768
104	0.9961356207	0.06266496147
105	0.9961564573	0.0624957894
106	0.9961732584	0.06235904762
107	0.9961868526	0.06224818571
108	0.9963742794	0.06069907431
109	0.9965605949	0.05911893058
110	0.9966814581	0.0580708998
111	0.9968197381	0.05684815178
112	0.996833351	0.05672635343
113	0.9970156759	0.05506908955
114	0.9971553953	0.05376453107
115	0.997167329	0.05365163647
116	0.9973599601	0.05179527604
117	0.9974513823	0.05089056279
118	0.9975781477	0.04960880108
119	0.9977124888	0.04821326169
120	0.9978896856	0.04630826217
121	0.998049392	0.04452151215
122	0.9980952683	0.04399484609
123	0.9981960744	0.04281482914
124	0.9982240535	0.04248149944
125	0.9982331062	0.04237308902
126	0.9982427703	0.04225704966
127	0.9982507032	0.04216155819
128	0.9982570039	0.04208555977
129	0.9983391891	0.041081377
130	0.9983530816	0.04090919601
131	0.9984362421	0.03986297045
132	0.9985326016	0.03861525637
133	0.9985378983	0.03854550057
134	0.9986317514	0.03728785614
