iter	Passed	Remaining
414	3164	1883
415	3170	1874
416	3176	1866
417	3182	1857
418	3188	1849
419	3195	1841
420	3201	1832
421	3208	1824
422	3215	1816
423	3221	1808
424	3227	1799
425	3233	1791
426	3239	1782
427	3245	1774
428	3251	1765
429	3257	1757
430	3263	1748
431	3269	1740
432	3275	1732
433	3281	1724
434	3288	1715
435	3294	1707
436	3301	1699
437	3308	1692
438	3324	1688
439	3343	1686
440	3365	1686
441	3371	1678
442	3378	1670
443	3385	1662
444	3393	1654
445	3404	1649
446	3413	1641
447	3420	1633
448	3426	1625
449	3433	1617
450	3439	1609
451	3444	1600
452	3450	1592
453	3456	1583
454	3462	1575
455	3469	1567
456	3475	1559
457	3481	1550
458	3488	1542
459	3494	1534
460	3501	1526
461	3507	1518
462	3514	1510
463	3522	1503
464	3529	1495
465	3535	1486
466	3541	1478
467	3547	1470
468	3554	1462
469	3559	1454
470	3566	1446
471	3572	1437
472	3578	1429
473	3584	1421
474	3591	1413
475	3597	1405
476	3603	1397
477	3611	1390
478	3617	1382
479	3623	1374
480	3629	1365
481	3635	1357
482	3642	1349
483	3648	1341
484	3654	1333
485	3660	1325
486	3666	1317
487	3672	1309
488	3678	1301
489	3684	1293
490	3690	1285
491	3698	1277
492	3706	1270
493	3734	1270
494	3757	1267
495	3766	1260
496	3773	1252
497	3780	1244
498	3787	1237
499	3795	1229
500	3807	1223
501	3816	1216
502	3823	1208
503	3831	1201
504	3837	1193
505	3844	1185
506	3850	1177
507	3856	1169
508	3863	1161
509	3869	1153
510	3876	1145
511	3883	1137
512	3890	1129
513	3897	1122
514	3905	1114
515	3919	1109
516	3926	1101
517	3932	1093
518	3938	1085
519	3945	1077
520	3951	1069
521	3958	1061
522	3964	1053
523	3971	1045
524	3977	1037
525	3983	1030
526	3990	1022
527	3996	1014
528	4003	1006
529	4009	998
530	4016	990
531	4023	983
532	4028	975
533	4035	967
534	4042	959
535	4048	951
536	4054	943
537	4060	935
538	4066	928
539	4073	920
540	4080	912
541	4087	904
542	4094	897
543	4101	889
544	4122	885
545	4148	881
546	4166	875
547	4173	868
548	4180	860
549	4187	852
550	4200	846
551	4210	839
552	4218	831
553	4224	823
554	4231	815
555	4237	807
556	4244	800
557	4250	792
558	4255	784
559	4261	776
560	4267	768
561	4274	760
562	4281	752
563	4289	745
564	4296	737
565	4303	729
566	4312	722
567	4320	714
568	4327	707
569	4334	699
570	4342	692
571	4348	684
572	4355	676
573	4362	668
574	4370	661
575	4377	653
576	4384	645
577	4391	638
578	4399	630
579	4406	622
580	4412	615
581	4421	607
582	4429	600
583	4437	592
584	4443	584
585	4451	577
586	4458	569
587	4465	562
588	4472	554
589	4479	546
590	4486	539
591	4493	531
592	4501	523
593	4508	516
594	4524	509
595	4544	503
596	4562	496
597	4572	489
598	4579	481
599	4585	473
600	4592	466
601	4601	458
602	4611	451
603	4620	443
604	4627	435
605	4633	428
606	4639	420
607	4645	412
608	4651	404
609	4657	397
610	4663	389
611	4669	381
612	4675	373
613	4681	366
614	4687	358
615	4693	350
616	4700	342
617	4707	335
618	4713	327
619	4719	319
620	4726	312
621	4732	304
622	4738	296
623	4745	288
624	4752	281
625	4757	273
626	4764	265
627	4771	258
628	4778	250
629	4784	243
630	4791	235
631	4797	227
632	4803	220
633	4810	212
634	4817	204
635	4824	197
636	4831	189
637	4837	181
638	4843	174
639	4850	166
640	4857	159
641	4864	151
642	4871	143
643	4878	136
644	4885	128
645	4892	121
646	4899	113
647	4925	106
648	4948	99
649	4959	91
650	4965	83
651	4972	76
652	4981	68
653	4993	61
654	5001	53
655	5007	45
656	5014	38
657	5020	30
658	5027	22
659	5033	15
660	5039	7
661	5046	0
